"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 22 09:01:43 PKT 2023","Fri Sep 22 09:01:43 PKT 2023","18","","Signing Up of the automationexercise website: Signing Up","","","","Given I am on the login page",""
"passed","Fri Sep 22 09:03:11 PKT 2023","Fri Sep 22 09:03:11 PKT 2023","24","","Adding blue products in cart at automationexercise website: Adding Blue Products.","","","","Given I am on the login page",""
"passed","Fri Sep 22 09:04:42 PKT 2023","Fri Sep 22 09:04:42 PKT 2023","4","","Adding blue products in cart at automationexercise website: Adding Blue Products.","","","","",""
"passed","Fri Sep 22 09:04:16 PKT 2023","Fri Sep 22 09:04:32 PKT 2023","15681","","Adding blue products in cart at automationexercise website: Adding Blue Products.","","","","And I check that all added products are blue.",""
"passed","Fri Sep 22 09:02:57 PKT 2023","Fri Sep 22 09:02:57 PKT 2023","2","","Api Testing of automationexercise website: Sending Post request and validation.","","","","",""
"passed","Fri Sep 22 09:02:21 PKT 2023","Fri Sep 22 09:02:21 PKT 2023","17","","Logging in at the automationexercise website: Logging in and deleting account","","","","Given I am on the login page",""
"passed","Fri Sep 22 09:01:43 PKT 2023","Fri Sep 22 09:01:55 PKT 2023","12143","","Signing Up of the automationexercise website: Signing Up","","","","When I signup with jensmith, jen@gmail.co and 12345.",""
"passed","Fri Sep 22 09:01:55 PKT 2023","Fri Sep 22 09:02:07 PKT 2023","11593","","Signing Up of the automationexercise website: Signing Up","","","","When I enter address information Jen, smith, RFT,London,London,Eng,London,12345 and 123456789.",""
"passed","Fri Sep 22 09:02:41 PKT 2023","Fri Sep 22 09:02:41 PKT 2023","3","","Logging in at the automationexercise website: Logging in and deleting account","","","","",""
"passed","Fri Sep 22 09:02:07 PKT 2023","Fri Sep 22 09:02:07 PKT 2023","4","","Signing Up of the automationexercise website: Signing Up","","","","",""
"passed","Fri Sep 22 09:03:32 PKT 2023","Fri Sep 22 09:04:16 PKT 2023","43934","","Adding blue products in cart at automationexercise website: Adding Blue Products.","","","","When I add all the blue products to cart.",""
"passed","Fri Sep 22 09:03:11 PKT 2023","Fri Sep 22 09:03:32 PKT 2023","21341","","Adding blue products in cart at automationexercise website: Adding Blue Products.","","","","When I login with jen@gmail.co and 12345.",""
"passed","Fri Sep 22 09:02:21 PKT 2023","Fri Sep 22 09:02:41 PKT 2023","20760","","Logging in at the automationexercise website: Logging in and deleting account","","","","When I login with jen@gmail.co and 12345.",""
"passed","Fri Sep 22 09:02:56 PKT 2023","Fri Sep 22 09:02:56 PKT 2023","1","","Api Testing of automationexercise website: Sending and verifying GET request.","","","","",""
"passed","Fri Sep 22 09:02:54 PKT 2023","Fri Sep 22 09:02:56 PKT 2023","1450","","Api Testing of automationexercise website: Sending and verifying GET request.","","","","Given I send the GET request at url.",""
"passed","Fri Sep 22 09:04:42 PKT 2023","Fri Sep 22 09:04:42 PKT 2023","4","","Adding blue products in cart at automationexercise website: Deleting Account","","","","",""
"passed","Wed Sep 20 12:12:38 PKT 2023","Wed Sep 20 12:12:43 PKT 2023","5219","","Adding blue products in cart at automationexercise website: Deleting Account","","","","And I delete the account.",""
"passed","Fri Sep 22 09:02:56 PKT 2023","Fri Sep 22 09:02:57 PKT 2023","1369","","Api Testing of automationexercise website: Sending Post request and validation.","","","","Given I send the post request and validate it.",""
"passed","Fri Sep 22 09:04:32 PKT 2023","Fri Sep 22 09:04:42 PKT 2023","9914","","Adding blue products in cart at automationexercise website: Adding Blue Products.","","","","And I delete the account.",""
